NM_MUNICIPIO,NR_TURNO,NR_SECAO,NM_LOCAL_VOTACAO,NR_LATITUDE,NR_LONGITUDE
MARÍLIA,1,114,EE. MONSENHOR BICUDO,-22.2229886,-49.9558914
MARÍLIA,1,124,EE. PROFA. ORACINA CORREA DE MORAES RODINE,-22.2025579,-49.9681609
PRESIDENTE PRUDENTE,1,265,E. E. PROFº ARLINDO FANTINI,-22.1093764,-51.4110335
PARAPUÃ,1,80,EMEF PROFESSORA ZIZI PEREIRA DE SOUZA,-21.782315,-50.7888623
ADAMANTINA,1,87,EE. PROFESSORA FLEURIDES CAVALLINI MENECHINO,-21.6930535,-51.0701944
ADAMANTINA,1,116,ETE PROFESSOR EUDÉCIO LUIZ VICENTE,-21.6780524,-51.0694713
PRESIDENTE PRUDENTE,1,402,COLÉGIO COOPERATIVO,-22.0941292,-51.4273353
PRESIDENTE PRUDENTE,1,34,E.E. MONSENHOR SARRION,-22.1337902,-51.3914742
TUPÃ,1,36,EE. ÍNDIA VANUIRE,-21.9350893,-50.5169581
MARÍLIA,1,428,EMEI CLARA LUZ,-22.1642199,-50.013465
OSVALDO CRUZ,1,82,EMEFI DOUTOR GETULIO VARGAS,-21.7999407,-50.8724599
MARÍLIA,1,115,EE. MONSENHOR BICUDO,-22.2229886,-49.9558914
MARÍLIA,1,256,EMEF PROF. ANTÔNIO MORAL,-22.2609965,-49.9285282
MARÍLIA,1,328,EE JOSÉ AUGUSTO BARTHOLO - DISTR. AVENCAS,-22.272094,-50.1114255
PRESIDENTE PRUDENTE,1,269,E. M. DOMINGOS FERREIRA DE MEDEIROS,-22.1051268,-51.3880732
PRESIDENTE PRUDENTE,1,274,COLÉGIO BRAGA MELLO,-22.107037,-51.3978385
PRESIDENTE PRUDENTE,1,283,E. M. PROFª JURACI MENESES PERALTA,-22.0868608,-51.3973765
PRESIDENTE PRUDENTE,1,308,E. M. RUI CARLOS VIEIRA BERBERT,-22.0860719,-51.3819163
MARÍLIA,1,420,EMEFEI - CHICO XAVIER,-22.2369283,-49.9786711
MARÍLIA,1,418,EMEI BRANCA DE NEVE,-22.1558824,-50.00883
RANCHARIA,1,37,EE. JOSÉ GIORGI,-22.2272722,-50.8834943
TUPÃ,1,34,EE. PROF. HELENA PAVANELLI PORTO,-21.9387273,-50.5131266
MARÍLIA,1,197,EMEF. PROFª NICÁCIA GARCIA GIL,-22.246563,-49.9168576
PRESIDENTE PRUDENTE,1,118,E. M. DR. JOÃO FRANCO DE GODOY,-22.1136855,-51.3963995
PRESIDENTE PRUDENTE,1,271,E. M. RUI CARLOS VIEIRA BERBERT,-22.0860719,-51.3819163
PARAPUÃ,1,61,EE DE PARAPUA,-21.778316,-50.7940589
MARÍLIA,1,9,E.E. DR. WALDEMAR MONIZ DA ROCHA BARROS ,-22.2032502,-49.9489875
ADAMANTINA,1,86,EE. PROFESSOR DURVALINO GRION,-21.6785734,-51.0768388
TUPÃ,1,28,EE. PROF. HELENA PAVANELLI PORTO,-21.9387273,-50.5131266
MARÍLIA,1,389,EMEFEI - CHICO XAVIER,-22.2369283,-49.9786711
MARÍLIA,1,172,EMEI. CIRANDA CIRANDINHA,-22.1893749,-49.9568886
PRESIDENTE PRUDENTE,1,282,E.M. ANTÔNIO ZACARIAS,-22.1236937,-51.4236348
TUPÃ,1,17,EE. DR. LÉLIO TOLEDO  PIZA E ALMEIDA,-21.9385669,-50.5163101
MARÍLIA,1,424,EMEI BRANCA DE NEVE,-22.1558824,-50.00883
PRESIDENTE PRUDENTE,1,154,E.M.  JOÃO SEBASTIÃO LISBOA,-22.1223398,-51.4003314
PRESIDENTE PRUDENTE,1,176,COLÉGIO CRIARTE,-22.141545,-51.3891683
PRESIDENTE PRUDENTE,1,175,E.E.  PROF. MIGUEL OMAR BARRETO,-22.1334587,-51.4383791
PRESIDENTE PRUDENTE,1,379,E. M. PROFª ODETTE DUARTE DA COSTA,-22.0769186,-51.3613254
MARÍLIA,1,171,EE PROF. BALTAZAR DE GODOY MOREIRA,-22.2015503,-49.9591456
MARÍLIA,1,255,COLÉGIO DR. BEZERRA DE MENEZES,-22.2104647,-49.9592914
PRESIDENTE PRUDENTE,1,153,E.E.  PROF.  PLACÍDIO BRAGA NOGUEIRA,-22.1390421,-51.3756213
MARÍLIA,1,5,EE ABEL AUGUSTO FRAGATA,-22.2231821,-49.9606052
MARÍLIA,1,54,EE PROF. BALTAZAR DE GODOY MOREIRA,-22.2015503,-49.9591456
ADAMANTINA,1,69,EE. PROFESSOR DURVALINO GRION,-21.6785734,-51.0768388
MARÍLIA,1,288, EMEF. PROFº AMÉRICO CAPELOZZA,-22.1821404,-49.9545302
MARÍLIA,1,270,COLÉGIO ÁGUA VIVA,-22.2331943,-49.9362083
PRESIDENTE PRUDENTE,1,339,E. M. PROFº OCYR AZEVEDO,-22.1097216,-51.4125136
PRESIDENTE PRUDENTE,1,387,E. M. DEP. CARLOS CASTILHO CABRAL,-22.0992138,-51.3932933
MARÍLIA,1,113,EE. MONSENHOR BICUDO,-22.2229886,-49.9558914
LUCÉLIA,1,40,EMEF PROFA MARIA DO CARMO DE MENEZES MENDONCA,-1.0,-1.0
PRESIDENTE PRUDENTE,1,319,COLÉGIO CRISTO REI,-22.1201108,-51.3886873
MARÍLIA,1,143,COLÉGIO CRIATIVO ,-22.2277428,-49.9257227
MARÍLIA,1,139,EMEI. CRECHE RODA PIÃO ,-22.1976708,-49.9529042
MARÍLIA,1,211,E.E. PROFª AMÉLIA LOPES ANDERS ,-22.1691793,-49.971775
MARÍLIA,1,98,EE DR. LOURENÇO DE ALMEIDA SENNE,-22.1955906,-49.962607
MARÍLIA,1,204,COLÉGIO CRISTO REI,-22.2077714,-49.9403623
MARÍLIA,1,152,E.E. PROFº BENITO MARTINELLI,-22.1519235,-49.961232
LUCÉLIA,1,33,EMEI ADELITA FIRPO,-1.0,-1.0
